marca;modelo;year
Toyota;Sienna SE;2019
Ford;F-150 Lariat;2018
RAM;1500 Laramie;2017
Honda;Accord Sport SE;2021
Lexus;RX 350;2020
Toyota;4Runner SR5;2012
Honda;HR-V LX;2017
Mercedes-Benz;E-Class E 350;2014
Honda;Pilot Touring 8-Passenger;2021
Dodge;Charger Scat Pack;2020
Lexus;RC 350 Base;2017
Lexus;GS 350 Base;2013
Lexus;RX 350 RX 350;2017
Ford;Explorer XLT;2018
Subaru;Crosstrek Premium;2021
Acura;RDX A-Spec;2021
Subaru;Forester Sport;2021
Subaru;Crosstrek 2.0i Premium;2018
BMW;435 Gran Coupe i xDrive;2016
Honda;Odyssey EX-L;2019
Honda;Odyssey EX-L;2016
Mercedes-Benz;GLC 300 Base;2020
Audi;Q5 2.0T Premium;2019
BMW;428 i;2014
Volvo;XC60 T5 Momentum;2019
Lincoln;MKZ Standard;2019
Subaru;Ascent Touring 7-Passenger;2020
Land;Rover Range Rover Evoque SE Premium;2017
Acura;MDX A-Spec;2022
Honda;Pilot EX-L;2022
Chevrolet;Impala Premier 2LZ;2019
INFINITI;G37 x;2013
Honda;Civic EX;2017
Tesla;Model S 75;2017
Honda;Pilot Special Edition;2021
Jeep;Grand Cherokee SRT;2015
Ford;Explorer Limited;2011
BMW;M240 i;2017
Volvo;XC60 T5 Inscription;2020
Honda;Civic EX;2018
BMW;X1 xDrive28i;2020
Acura;ILX Premium & A-SPEC Packages;2019
Chrysler;300 S;2021
Land;Rover Range Rover Sport 3.0L Supercharged HSE Dynamic;2017
BMW;Z4 sDrive30i;2019
Honda;Civic Sport;2019
Land;Rover Range Rover;2016
Ford;F-150 Lariat;2011
Mazda;CX-5 Grand Touring;2018
Kia;Sportage LX;2018
Volkswagen;Tiguan Sport;2017
Chrysler;300 S;2017
Tesla;Model X Performance;2020
Subaru;Impreza 2.0i Premium;2019
Jeep;Cherokee Latitude Plus;2019
BMW;320 i xDrive;2018
Porsche;Cayenne Base;2016
Nissan;Rogue SV;2016
Mercedes-Benz;E-Class E 350 4MATIC;2014
BMW;X5 xDrive35i Premium;2012
Hyundai;Santa Fe SEL 2.4;2020
Mercedes-Benz;AMG E 63 S 4MATIC;2019
Mercedes-Benz;S-Class S 560 4MATIC;2019
Hyundai;Elantra SE;2020
BMW;X3 M40i;2020
Volkswagen;Golf R 2.0T w/DCC & Navigation;2019
Land;Rover Range Rover HSE;2018
BMW;430 Gran Coupe i xDrive;2018
Mercedes-Benz;GLS 450 4MATIC;2019
Lexus;LS 460 Base;2011
Mercedes-Benz;GLB 250 Base;2020
Toyota;Camry SE;2021
Ford;Edge Sport;2018
Subaru;Crosstrek 2.0i Premium;2019
Toyota;4Runner Limited;2021
Ford;F-150;2016
Audi;A5 2.0T Premium;2012
Lexus;RC F Base;2015
Dodge;Challenger R/T;2021
Mazda;CX-5 Grand Touring;2016
Honda;Accord EX-L;2015
Chevrolet;Camaro 2SS;2017
Nissan;Rogue S;2017
Toyota;Highlander SE;2019
Chevrolet;Cruze LS;2019
Chevrolet;Traverse Premier;2018
Nissan;Murano SV;2020
BMW;540 i xDrive;2019
Volkswagen;Atlas 3.6L SEL Premium;2021
Chevrolet;Tahoe LTZ;2015
Honda;Civic Sport;2020
Nissan;Rogue SL;2018
Hyundai;Tucson SE;2017
Buick;Enclave Essence;2019
Jeep;Wrangler Unlimited Sport;2015
Buick;Enclave Essence;2020
BMW;X5 M Base;2018
Genesis;GV80 2.5T;2021
